#gemeente,provincie,inwoners,landoppervlakte,inwoners/km,gem. inkomen per inw.,hoofdplaats,grootste plaatsen
 Leidschendam Voorburg Leidschendam Voorburg, Zuid Holland,73.392,32.82,2221.02,15.600,,Leidschendam. Voorburg
 Lelystad Lelystad, Flevoland,76.170,234.13,309.34,12.400,Lelystad,Lelystad
 Leudal Leudal, Limburg,36.213,162.93,225.99,13.200,Heythuysen,Heythuysen. Haelen. Horn. Neer. Roggel
 Leusden Leusden, Utrecht,28.967,58.68,486.18,15.100,Leusden,Leusden
 Lingewaal Lingewaal, Gelderland,11.059,50.59,214.25,13.400,Asperen,Asperen. Herwijnen. Heukelum. Vuren
 Lingewaard Lingewaard, Gelderland,45.814,62.72,709.04,12.900,Huissen,Bemmel. Gendt. Huissen
 Lisse Lisse, Zuid Holland,22.376,15.70,1405.29,13.700,Lisse,Lisse
 Littenseradeel Littenseradeel, Friesland,10.929,130.74,83.07,12.200,Wommels,Mantgum. Winsum. Wommels
 Lochem Lochem, Gelderland,33.268,213.31,154.16,14.500,Lochem,Eefde. Laren. Lochem
 Loon op Zand Loon op Zand, Noord Brabant,23.104,50.05,454.12,13.200,Kaatsheuvel,Kaatsheuvel
 Lopik Lopik, Utrecht,14.000,75.78,184.97,13.300,Lopik,Lopik. Benschop
 Loppersum Loppersum, Groningen,10.181,111.02,96.64,12.000,Loppersum,Loppersum. Middelstum
 Losser Losser, Overijssel,22.619,98.95,226.95,12.200,Losser,De Lutte. Losser. Overdinkel
 Maasdonk Maasdonk, Noord Brabant,11.222,37.23,303.01,12.800,Geffen,Geffen. Nuland
 Maasdriel Maasdriel, Gelderland,24.197,66.27,355.17,13.300,Kerkdriel,Ammerzoden. Hedel. Kerkdriel. Rossum
 Maasgouw Maasgouw, Limburg,23.888,45.99,533.14,13.200,Maasbracht,Heel. Linne. Maasbracht
 Maassluis Maassluis, Zuid Holland,32.097,8.60,3654.53,13.500,Maassluis,Maassluis
 Maastricht Maastricht, Limburg,122.331,56.80,2069.51,12.500,Maastricht,Maastricht
 Marum Marum, Groningen,10.350,64.51,156.21,12.200,Marum,Marum. De Wilp
 Medemblik Medemblik, Noord Holland,43.331,121.81,355,13.400,Wognum,Abbekerk. Medemblik. Midwoud. Nibbixwoud. Wognum
 Meerssen Meerssen, Limburg,19.259,27.15,726.56,13.700,Meerssen,Meerssen. Bunde. Ulestraten
 Menaldumadeel Menaldumadeel, Friesland,13.653,69.02,199.33,12.200,Menaam,Berlikum. Dronrijp. Marssum. Menaldum
 Menterwolde Menterwolde, Groningen,12.250,80.37,155.82,11.700,Muntendam,Muntendam. Zuidbroek. Noordbroek
 Meppel Meppel, Drenthe,32.875,55.68,561.98,12.800,Meppel,Nijeveen
 Middelburg Middelburg, Zeeland,47.660,48.64,988.38,12.900,Middelburg,Middelburg. Middelburg. Nieuw  en Sint Joosland
 Midden Delfland Midden Delfland, Zuid Holland,18.449,47.45,369.34,14.200,Schipluiden,Den Hoorn. Maasland. Schipluiden
 Midden Drenthe Midden Drenthe, Drenthe,33.368,341.53,98.16,12.400,Beilen,Beilen. Westerbork. Hoogersmilde. Smilde
